Car_Number,Arrive,Depart,Wait,Direction
1246,18872,18872,0,W
1247,18876,18876,0,E
1250,18886,18886,0,W
1251,18893,18894,1,E
1254,18910,18960,50,E
1252,18900,18960,60,W
1258,18927,18962,35,E
1255,18914,18962,48,W
1261,18944,18964,20,E
1259,18928,18964,36,W
1265,18961,18966,5,E
1260,18942,18966,24,W
1263,18956,18968,12,W
1266,18970,18970,0,W
1268,18978,18978,0,E
1269,18984,18984,0,W
1271,18995,18996,1,E
1273,18998,18998,0,W
1274,19012,19012,0,E
1275,19012,19012,0,W
1278,19029,19080,51,E
1277,19026,19080,54,W
1282,19046,19082,36,E
1280,19040,19082,42,W
1284,19063,19084,21,E
1283,19054,19084,30,W
1288,19080,19086,6,E
1287,19068,19086,18,W
1289,19082,19088,6,W
1291,19096,19096,0,W
1292,19097,19098,1,E
1294,19110,19110,0,W
1296,19114,19114,0,E
1297,19124,19124,0,W
1298,19131,19132,1,E
1301,19138,19138,0,W
1302,19148,19200,52,E
1303,19152,19200,48,W
1305,19165,19202,37,E
1306,19166,19202,36,W
1310,19182,19204,22,E
1309,19180,19204,24,W
1312,19199,19206,7,E
1311,19194,19206,12,W
1314,19208,19208,0,W
1316,19216,19216,0,E
1317,19222,19222,0,W
1319,19233,19234,1,E
1320,19236,19236,0,W
1323,19250,19250,0,E
1324,19250,19250,0,W
1326,19267,19320,53,E
1325,19264,19320,56,W
1330,19284,19322,38,E
1328,19278,19322,44,W
1333,19301,19324,23,E
1331,19292,19324,32,W
1337,19318,19326,8,E
1334,19306,19326,20,W
1338,19320,19328,8,W
1339,19334,19334,0,W
1340,19335,19336,1,E
1342,19348,19348,0,W
1343,19352,19352,0,E
1345,19362,19362,0,W
1347,19369,19370,1,E
1348,19376,19376,0,W
1349,19386,19440,54,E
1352,19390,19440,50,W
1353,19403,19442,39,E
1354,19404,19442,38,W
1357,19420,19444,24,E
1356,19418,19444,26,W
1361,19437,19446,9,E
1359,19432,19446,14,W
1362,19446,19448,2,W
1363,19454,19454,0,E
1365,19460,19460,0,W
1367,19471,19472,1,E
1368,19474,19474,0,W
1370,19488,19488,0,E
1371,19488,19488,0,W
1375,19505,19560,55,E
1374,19502,19560,58,W
1377,19522,19562,40,E
1376,19516,19562,46,W
1381,19539,19564,25,E
1379,19530,19564,34,W
1384,19556,19566,10,E
1382,19544,19566,22,W
1385,19558,19568,10,W
1388,19572,19572,0,W
1389,19573,19574,1,E
1390,19586,19586,0,W
1391,19590,19590,0,E
1393,19600,19600,0,W
1395,19607,19608,1,E
1396,19614,19614,0,W
1398,19624,19680,56,E
1399,19628,19680,52,W
1401,19641,19682,41,E
1403,19642,19682,40,W
1405,19658,19684,26,E
1404,19656,19684,28,W
1408,19675,19686,11,E
1407,19670,19686,16,W
1410,19684,19688,4,W
1412,19692,19692,0,E
1413,19698,19698,0,W
1415,19709,19710,1,E
1416,19712,19712,0,W
1418,19726,19726,0,E
1419,19726,19726,0,W
1422,19743,19800,57,E
1421,19740,19800,60,W
1426,19760,19802,42,E
1424,19754,19802,48,W
1428,19777,19804,27,E
1427,19768,19804,36,W
1432,19794,19806,12,E
1430,19782,19806,24,W
1433,19796,19808,12,W
1435,19810,19810,0,W
1436,19811,19812,1,E
1439,19824,19824,0,W
1440,19828,19828,0,E
1441,19838,19838,0,W
1442,19845,19846,1,E
1444,19852,19852,0,W
1446,19862,19920,58,E
1447,19866,19920,54,W
1449,19879,19922,43,E
1450,19880,19922,42,W
1454,19896,19924,28,E
1453,19894,19924,30,W
1456,19913,19926,13,E
1455,19908,19926,18,W
1458,19922,19928,6,W
1460,19930,19930,0,E
1461,19936,19936,0,W
1463,19947,19948,1,E
1464,19950,19950,0,W
1466,19964,19964,0,E
1467,19964,19964,0,W
1469,19978,19978,0,W
1470,19981,20040,59,E
1472,19992,20040,48,W
1473,19998,20042,44,E
1475,20006,20042,36,W
